0,1,36
1,36,41
1,2,41
2,41,31
41,40,31
40,39,29
40,30,31
2,3,31
3,31,48
3,4,48
4,5,48
48,49,31
31,32,49
49,50,32
32,33,50
33,51,50
33,51,52
33,34,52
34,35,52
52,53,35
53,54,35
30,31,32
30,32,33
30,34,33
30,35,34
29,30,31
31,29,40
29,30,35
28,29,39
28,27,39
39,21,27
38,39,21
38,20,21
38,37,20
19,20,37
18,19,37
18,36,37
18,17,36
0,36,17
5,6,48
48,59,6
59,6,7
59,58,7
7,8,58
58,57,8
57,8,9
57,56,9
56,9,10
56,55,10
55,10,11
55,54,11
54,12,11
54,13,12
54,14,13
54,35,14
35,14,15
27,28,42
28,29,42
42,47,29
29,35,47
47,46,35
46,15,35
46,16,15
45,46,16
45,26,16
25,26,45
44,45,25
24,25,44
44,43,24
23,24,43
42,43,23
22,23,42
22,27,42
21,22,27
